Letter,Count_All,Count_Uppercase,Percentage
"n","32","4","0.07"
"e","55","1","0.12"
"w","16","2","0.035"
"s","47","0","0.102"
"t","50","4","0.109"
"h","27","0","0.059"
"i","38","0","0.083"
"a","29","4","0.063"
"r","26","0","0.057"
"f","13","0","0.028"
"o","22","0","0.048"
"m","13","2","0.028"
"c","11","0","0.024"
"l","18","0","0.039"
"k","3","0","0.007"
"x","2","0","0.004"
"j","1","0","0.002"
"p","7","3","0.015"
"g","5","0","0.011"
"d","19","0","0.041"
"u","11","0","0.024"
"v","7","2","0.015"
"y","6","0","0.013"
"b","2","1","0.004"
